Licence Number,Licence Description,Licence Type,Licence Status,Licensee,Additional Licensee,Trading Name,Dtf Location,Start Date,Expiry Date,Council Area
6884,Licensing Act 2003,Premises Licence,Granted,DPSK Ltd,,Domino's Pizzas,"19 Station Road, Bognor Regis, West Sussex, PO21 1QD",31/07/2015,,
6889,Licensing Act 2003,Premises Licence,Granted,Mr E Rahman & Mr N Islam,,Reema,"130 Sea Road, East Preston, Littlehampton, West Sussex, BN16 1NN",24/04/2017,,Arun
6907,Licensing Act 2003,Premises Licence,Granted,Mrs C S Barnes,,Pagham Beach Club,"The Pagham Club, 2, West Front Road, Pagham, Bognor Regis, West Sussex, PO21 4SY",03/12/2015,,Arun
6909,Licensing Act 2003,Premises Licence,Surrendered,Mrs J F Penticost & Mr S J Penticost,,Burpham Country House,"BURPHAM COUNTRY HOUSE, The Street, Burpham, ARUNDEL, West Sussex, BN18 9RJ",24/11/2005,,
6910,Licensing Act 2003,Premises Licence,Granted,Mr Muhib Miah,,India Gate,"3 - 5 Mill Lane, ARUNDEL, West Sussex, BN18 9AH",10/03/2014,,
6912,Licensing Act 2003,Premises Licence,Granted,Rustington Church Hall,,Rustington Hall,"ST PETER AND SAINT PAULS CHURCH HALL, The Street, Rustington, LITTLEHAMPTON, West Sussex, BN16 3NL",24/11/2005,,
6917,Licensing Act 2003,Premises Licence,Granted,Mr Naresh Pendkar,,Subway,"21 High Street, BOGNOR REGIS, West Sussex, PO21 1RS",18/07/2016,,
6925,Licensing Act 2003,Premises Licence,Granted,Ms Sue Holland,,Oakhurst Gardens Social Club,"RUSTINGTON HALL NURSING HOME, Station Road, Rustington, LITTLEHAMPTON, West Sussex, BN16 3AY",09/11/2010,,
6942,Licensing Act 2003,Premises Licence,Granted,Mr Sithar Miah,,New Tandoori Gate Ltd,"58 Felpham Road, Felpham, Bognor Regis, West Sussex, PO22 7NZ",24/11/2005,,Arun
6943,Licensing Act 2003,Premises Licence,Granted,The Fire Fighters Charity,,Fire Fighters Charity,"THE RONNIE GREENE WING FIRE SERVICES NATIONAL BENE, MARINE COURT, Fitzalan Road, LITTLEHAMPTON, West Sussex, BN17 5NF",30/05/2014,,Arun
6945,Licensing Act 2003,Premises Licence,Granted,Mr Mahir Yilmaz,,Barnham Kebab & Pizza House,"19 The Square, Barnham, BOGNOR REGIS, West Sussex, PO22 0HB",29/11/2010,,Arun
6948,Licensing Act 2003,Premises Licence,Suspended,Zeera Lounge Ltd,,Zeera Lounge,"293 Chichester Road, Bersted, BOGNOR REGIS, West Sussex, PO21 5AL",02/02/2016,,Arun
6951,Licensing Act 2003,Premises Licence,Granted,Sugarhiccup Ltd,,Mamma Mia,"31 Nyewood Lane, Aldwick, BOGNOR REGIS, West Sussex, PO21 2QB",08/09/2009,,
6973,Licensing Act 2003,Premises Licence,Granted,Mr A Smith,,St Nicholas Church,"St Nicholas Parish Church, London Road, Arundel, West Sussex, BN18 9AT",27/05/2016,,Arun
7006,Licensing Act 2003,Premises Licence,Granted,The Governing Body Of South Bersted C Of E School,,Chartwells At South Bersted C E School,"SOUTH BERSTED CHURCH OF ENGLAND PRIMARY SCHOOL, Church Lane, BOGNOR REGIS, West Sussex, PO22 9PZ",15/02/2006,,
7013,Licensing Act 2003,Premises Licence,Granted,Bognor Regis Methodist Church,,Joyce's Pantry,"BOGNOR REGIS METHODIST CHURCH, Waterloo Square, BOGNOR REGIS, West Sussex, PO21 1ST",31/01/2006,,
